date,close_USD
2010-07-19,0.08584
2010-07-26,0.0505
2010-08-02,0.0611
2010-08-09,0.0609
2010-08-16,0.06529
2010-08-23,0.066
2010-08-30,0.064
2010-09-06,0.06165
2010-09-13,0.0615
2010-09-20,0.0627
2010-09-27,0.0622
2010-10-04,0.06111
2010-10-11,0.0965
2010-10-18,0.102
2010-10-25,0.11501
2010-11-01,0.1925
2010-11-08,0.34
2010-11-15,0.27904
2010-11-22,0.27675
2010-11-29,0.27
2010-12-06,0.19
2010-12-13,0.2189
2010-12-20,0.2401
2010-12-27,0.263
2011-01-03,0.29997
2011-01-10,0.323
2011-01-17,0.38679
2011-01-24,0.4424
2011-01-31,0.4799
2011-02-07,0.8968
2011-02-14,1.05
2011-02-21,0.865
2011-02-28,0.89
2011-03-07,0.8999
2011-03-14,0.89249
2011-03-21,0.75218
2011-03-28,0.82754
2011-04-04,0.779
2011-04-11,0.7369
2011-04-18,1.1123
2011-04-25,1.6311
2011-05-02,3.03311
2011-05-09,3.8659
2011-05-16,6.98701
2011-05-23,6.6901
2011-05-30,8.4
2011-06-06,16.7
2011-06-13,18.5464
2011-06-20,17.51
2011-06-27,16.45
2011-07-04,15.4405
2011-07-11,14.879
2011-07-18,13.16
2011-07-25,13.98
2011-08-01,13.35
2011-08-08,7.9
2011-08-15,10.7957
2011-08-22,11.3112
2011-08-29,9.07011
2011-09-05,8.17798
2011-09-12,5.86436
2011-09-19,5.2
2011-09-26,5.33
2011-10-03,5.02701
2011-10-10,4.10288
2011-10-17,3.5574
2011-10-24,3.12657
2011-10-31,3.27
2011-11-07,2.95959
2011-11-14,2.99626
2011-11-21,2.2
2011-11-28,2.47991
2011-12-05,2.82809
2011-12-12,3.2511
2011-12-19,3.193
2011-12-26,4.225
2012-01-02,5.26766
2012-01-09,7.11358
2012-01-16,7.00177
2012-01-23,6.3097
2012-01-30,5.38191
2012-02-06,5.68881
2012-02-13,5.51468
2012-02-20,4.38669
2012-02-27,4.922
2012-03-05,4.8201
2012-03-12,4.90901
2012-03-19,5.27943
2012-03-26,4.55001
2012-04-02,4.81922
2012-04-09,4.79253
2012-04-16,4.96892
2012-04-23,5.20352
2012-04-30,4.90441
2012-05-07,5.04991
2012-05-14,4.92996
2012-05-21,5.09002
2012-05-28,5.13896
2012-06-04,5.2051
2012-06-11,5.46829
2012-06-18,6.16382
2012-06-25,6.35002
2012-07-02,6.62898
2012-07-09,6.79898
2012-07-16,7.62101
2012-07-23,8.4096
2012-07-30,8.71027
2012-08-06,10.87
2012-08-13,11.6239
2012-08-20,7.98
2012-08-27,10.61
2012-09-03,10.2041
2012-09-10,11.02
2012-09-17,11.87
2012-09-24,12.1933
2012-10-01,12.4
2012-10-08,11.8034
2012-10-15,11.7389
2012-10-22,11.6311
2012-10-29,10.7
2012-11-05,10.8001
2012-11-12,10.8469
2012-11-19,11.6596
2012-11-26,12.4821
2012-12-03,12.5
2012-12-10,13.388
2012-12-17,13.3
2012-12-24,13.312
2012-12-31,13.45
2013-01-07,13.5199
2013-01-14,14.116
2013-01-21,15.7
2013-01-28,17.95
2013-02-04,20.59
2013-02-11,23.9697
2013-02-18,26.8146
2013-02-25,29.89
2013-03-04,34.5
2013-03-11,46
2013-03-18,47.4
2013-03-25,71.93
2013-04-01,93.03
2013-04-08,162.301
2013-04-15,90
2013-04-22,119.2
2013-04-29,134.444
2013-05-06,115.98
2013-05-13,114.82
2013-05-20,122.5
2013-05-27,133.5
2013-06-03,122.5
2013-06-10,100.437
2013-06-17,99.9
2013-06-24,107.9
2013-07-01,97.51
2013-07-08,76.5
2013-07-15,94.4199
2013-07-22,91.998
2013-07-29,98.7801
2013-08-05,105.12
2013-08-12,105
2013-08-19,113.38
2013-08-26,122.111
2013-09-02,146.01
2013-09-09,126.315
2013-09-16,138.3
2013-09-23,134
2013-09-30,143.884
2013-10-03,123.9
2013-10-10,141.2
2013-10-17,202.9
2013-10-24,203.7
2013-10-31,263.7
2013-11-07,398
2013-11-14,593.9
2013-11-21,987.6
2013-11-28,1079.9
2013-12-05,870.2
2013-12-12,544.2
2013-12-19,676
2013-12-26,759.1
2014-01-02,824.5
2014-01-09,855.9
2014-01-16,822
2014-01-23,802.4
2014-01-30,802.5
2014-02-06,670.6
2014-02-13,630.1
2014-02-20,587.2
2014-02-27,680.9
2014-03-06,631.6
2014-03-13,620
2014-03-20,585
2014-03-27,448.3
2014-04-03,461
2014-04-10,523.5
2014-04-17,495.6
2014-04-24,448.3
2014-05-01,452.7
2014-05-08,445.5
2014-05-15,494.7
2014-05-22,575.8
2014-05-29,640.4
2014-06-05,617.9
2014-06-12,603.5
2014-06-19,564.4
2014-06-26,646.5
2014-07-03,627.8
2014-07-10,615
2014-07-17,618.6
2014-07-24,584.9
2014-07-31,584.2
2014-08-07,564
2014-08-14,530
2014-08-21,524.8
2014-08-28,524.7
2014-09-04,475
2014-09-11,445
2014-09-18,413
2014-09-25,393.2
2014-10-02,370
2014-10-09,400.3
2014-10-16,388.7
2014-10-23,335
2014-10-30,348.2
2014-11-06,406.8
2014-11-13,389.9
2014-11-20,372.8
2014-11-27,380
2014-12-04,345.5
2014-12-11,329.9
2014-12-18,320.3
2014-12-25,319.1
2015-01-01,299.9
2015-01-08,182.3
2015-01-15,220
2015-01-22,247.9
2015-01-29,228
2015-02-05,207.2
2015-02-12,236
2015-02-19,238
2015-02-26,269.4
2015-03-05,295.3
2015-03-12,261
2015-03-19,250.9
2015-03-26,248.4
2015-04-02,249.4
2015-04-09,220.1
2015-04-16,235.7
2015-04-23,225.4
2015-04-30,227.3
2015-05-07,240.6
2015-05-14,235
2015-05-21,236.4
2015-05-28,227
2015-06-04,227.2
2015-06-11,251.7
2015-06-18,241.6
2015-06-25,265
2015-07-02,272.9
2015-07-09,292.9
2015-07-16,276.9
2015-07-23,291.8
2015-07-30,281
2015-08-06,270
2015-08-13,230
2015-08-20,226.3
2015-08-27,230
2015-09-03,239.9
2015-09-10,229
2015-09-17,229.2
2015-09-24,236
2015-10-01,243.6
2015-10-08,253.6
2015-10-15,266.5
2015-10-22,302.2
2015-10-29,408.9
2015-11-05,304.8
2015-11-12,326.5
2015-11-19,329.6
2015-11-26,359.5
2015-12-03,416.3
2015-12-10,453.1
2015-12-17,444.8
2015-12-24,428.6
2015-12-31,429.9
2016-01-07,430
2016-01-14,420.2
2016-01-21,398
2016-01-28,368
2016-02-04,379.3
2016-02-11,417.2
2016-02-18,422.5
2016-02-25,420.6
2016-03-03,411.9
2016-03-10,417.9
2016-03-17,416
2016-03-24,413.3
2016-03-31,423.5
2016-04-07,423.5
2016-04-14,441.7
2016-04-21,445
2016-04-28,447.8
2016-05-05,453.8
2016-05-12,453.5
2016-05-19,448.3
2016-05-26,536.6
2016-06-02,581.9
2016-06-09,693.4
2016-06-16,601.9
2016-06-23,643.1
2016-06-30,677
2016-07-07,655.1
2016-07-14,665.8
2016-07-21,656.9
2016-07-28,566.2
2016-08-04,591
2016-08-11,575.9
2016-08-18,582.2
2016-08-25,574.2
2016-09-01,617.2
2016-09-08,613.9
2016-09-15,599.6
2016-09-22,604.2
2016-09-29,614.9
2016-10-06,637.4
2016-10-13,631.5
2016-10-20,677.2
2016-10-27,747
2016-11-03,722.4
2016-11-10,743.4
2016-11-17,741.9
2016-11-24,743.2
2016-12-01,765
2016-12-08,777.5
2016-12-15,829.9
2016-12-22,978
2016-12-29,1133.2
2017-01-05,784.6
2017-01-12,892.3
2017-01-19,896.9
2017-01-26,988.7
2017-02-02,1055.8
2017-02-09,1016.8
2017-02-16,1121
2017-02-23,1222
2017-03-02,1143.3
2017-03-09,1255.6
2017-03-16,1033.1
2017-03-23,1043.4
2017-03-30,1140.9
2017-04-06,1219.1
2017-04-13,1209
2017-04-20,1290.5
2017-04-27,1513.6
2017-05-04,1782
2017-05-11,1831.9
2017-05-18,2414.2
2017-05-25,2294.9
2017-06-01,2690
2017-06-08,2462.1
2017-06-15,2651.9
2017-06-22,2564
2017-06-29,2613.9
2017-07-06,2372.1
2017-07-13,2254.9
2017-07-20,2526.6
2017-07-27,2700.8
2017-08-03,3371.8
2017-08-10,4388
2017-08-17,4151
2017-08-24,4579.7
2017-08-31,4659.6
2017-09-07,3875.6
2017-09-14,3869.2
2017-09-21,4231
2017-09-28,4218.4
2017-10-05,4822
2017-10-12,5579.4
2017-10-19,5757.3
2017-10-26,6741
2017-11-02,7463.5
2017-11-09,7250
2017-11-16,8251.5
2017-11-23,9744
2017-11-30,13737.7
2017-12-07,16151.6
2017-12-14,16224.3
2017-12-21,15456
2017-12-28,15185.7
2018-01-04,14937.6
2018-01-11,11184.7
2018-01-18,11420.1
2018-01-25,10100
2018-02-01,7559
2018-02-08,9489.7
2018-02-15,10467.8
2018-02-22,10308.2
2018-03-01,9902.4
2018-03-08,8174.2
2018-03-15,8880.3
2018-03-22,7943.4
2018-03-29,6790.4
2018-04-05,6940
2018-04-12,8170
2018-04-19,8855.7
2018-04-26,9217.1
2018-05-03,9305.7
2018-05-10,8344.9
2018-05-17,7513
2018-05-24,7381.3
2018-05-31,7659.8
2018-06-07,6294.2
2018-06-14,6755.4
2018-06-21,6132.9
2018-06-28,6584.2
2018-07-05,6377.9
2018-07-12,7367.4
2018-07-19,8166
2018-07-26,7604.1
2018-08-02,6272.7
2018-08-09,6269.5
2018-08-16,6359.8
2018-08-23,7028.9
2018-08-30,6686.6
2018-09-06,6325
2018-09-13,6392.1
2018-09-20,6451.6
2018-09-27,6463.9
2018-10-04,6530.5
2018-10-11,6442.5
2018-10-18,6413.9
2018-10-25,6307.5
2018-11-01,6499.1
2018-11-08,5605.1
2018-11-15,4545.1
2018-11-22,4219.8
2018-11-29,3690.6
2018-12-06,3435.5
2018-12-13,3683.6
2018-12-20,3808.2
2018-12-27,3886.2
2019-01-03,4000
2019-01-10,3604.7
2019-01-17,3556.1
2019-01-24,3436.9
2019-01-31,3367.4
2019-02-07,3579.8
2019-02-14,3943.2
2019-02-21,3799.1
2019-02-28,3851.7
2019-03-07,3852.8
2019-03-14,4033
2019-03-21,4026.1
2019-03-28,4972.2
2019-04-04,5320.5
2019-04-11,5225
2019-04-18,5444.2
2019-04-25,5324.1
2019-05-02,5942.1
2019-05-09,8203
2019-05-16,7620
2019-05-23,8663.2
2019-05-30,7787.1
2019-06-06,8171
2019-06-13,9277.1
2019-06-20,12933.7
2019-06-27,11979.8
2019-07-04,12096.2
2019-07-11,9703.9
2019-07-18,9769.8
2019-07-25,10090.1
2019-08-01,11962.7
2019-08-08,10018
2019-08-15,10125
2019-08-22,9716.1
2019-08-29,10584.9
2019-09-05,10160.7
2019-09-12,10157.6
2019-09-19,8439
2019-09-26,8382.3
2019-10-03,8590.8
2019-10-10,8000
2019-10-17,7475
2019-10-24,9166.2
2019-10-31,9338.4
2019-11-07,8762.1
2019-11-14,8083.1
2019-11-21,7525.9
2019-11-28,7190.5
2019-12-05,7202
2019-12-12,7287.9
2019-12-19,7192.1
2019-12-26,7174.4
2020-01-02,8043.3
2020-01-09,8810.3
2020-01-16,8659
2020-01-23,9280.9
2020-01-30,9616.2
2020-02-06,10354.6
2020-02-13,9602.2
2020-02-20,8783.5
2020-02-27,8758.7
2020-03-05,7943.3
2020-03-12,5415.2
2020-03-19,6689.9
2020-03-26,6662.9
2020-04-02,7368
2020-04-09,6619.8
2020-04-16,7136.9
2020-04-23,8779.9
2020-04-30,9166.1
2020-05-07,9317.1
2020-05-14,9510.1
2020-05-21,9213.9
2020-05-28,9664.1
2020-06-04,9892.4
2020-06-11,9453.1
2020-06-18,9282
2020-06-25,9234.5
2020-07-02,9440.1
2020-07-09,9195
2020-07-16,9529.9
2020-07-23,11108.2
2020-07-30,11746
2020-08-06,11576.6
2020-08-13,11757.4
2020-08-20,11469.5
2020-08-27,11396.9
2020-09-03,10229.7
2020-09-10,10951.1
2020-09-17,10230.7
2020-09-24,10774.9
